id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,game_date_time,game_date,PBP,player_box
401026260,s:40~l:54~e:401026260~c:401026260,2018-04-01T22:00Z,19599,TRUE,TRUE,FALSE,FALSE,2018-04-01T22:00Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - NATIONAL CHAMPIONSHIP,,,1828,Nationwide Arena,Columbus,OH,0,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,344,s:40~l:54~t:344,Mississippi State,Bulldogs,MSST,Mississippi State Bulldogs,Mississippi St,762123,c8c8c8,TRUE,2095,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,23,58,FALSE,87,s:40~l:54~t:87,Notre Dame,Fighting Irish,ND,Notre Dame Fighting Irish,Notre Dame,0c2340,c99700,TRUE,282,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,2,61,TRUE,401026260,2018,3,,,,,,22,2018-04-01T22:00:00Z,2018-04-01,FALSE,TRUE
401028491,s:40~l:54~e:401028491~c:401028491,2018-03-31T19:00Z,13007,TRUE,FALSE,FALSE,FALSE,2018-03-31T19:00Z,event,WOMEN'S NIT - CHAMPIONSHIP,37,BM,2092,Simon Skjodt Assembly Hall,Bloomington,IN,17222,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,84,s:40~l:54~t:84,Indiana,Hoosiers,IU,Indiana Hoosiers,Indiana,990000,edebeb,TRUE,2092,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,7,65,TRUE,259,s:40~l:54~t:259,Virginia Tech,Hokies,VT,Virginia Tech Hokies,Virginia Tech,630031,cf4520,TRUE,2119,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,2,57,FALSE,401028491,2018,3,,,,,,37,2018-03-31T19:00:00Z,2018-03-31,TRUE,TRUE
401026259,s:40~l:54~e:401026259~c:401026259,2018-03-31T01:52Z,19564,TRUE,TRUE,FALSE,FALSE,2018-03-31T01:52Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - FINAL FOUR,,,1828,Nationwide Arena,Columbus,OH,0,TRUE,0,0:00,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,41,s:40~l:54~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,62,89,FALSE,87,s:40~l:54~t:87,Notre Dame,Fighting Irish,ND,Notre Dame Fighting Irish,Notre Dame,0c2340,c99700,TRUE,282,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,2,91,TRUE,401026259,2018,3,OT,,,,,22,2018-03-31T01:52:00Z,2018-03-30,FALSE,TRUE
401026258,s:40~l:54~e:401026258~c:401026258,2018-03-30T23:00Z,0,TRUE,TRUE,FALSE,FALSE,2018-03-30T23:00Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - FINAL FOUR,,,1828,Nationwide Arena,Columbus,OH,0,TRUE,0,0:00,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,344,s:40~l:54~t:344,Mississippi State,Bulldogs,MSST,Mississippi State Bulldogs,Mississippi St,762123,c8c8c8,TRUE,2095,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,23,73,TRUE,97,s:40~l:54~t:97,Louisville,Cardinals,LOU,Louisville Cardinals,Louisville,c9001f,000000,TRUE,2030,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,2,63,FALSE,401026258,2018,3,OT,,,,,22,2018-03-30T23:00:00Z,2018-03-30,FALSE,TRUE
401027996,s:40~l:54~e:401027996~c:401027996,2018-03-30T00:00Z,3526,TRUE,FALSE,FALSE,FALSE,2018-03-30T00:00Z,event,WBI CHAMPIONSHIP GAME,,,1908,Farris Center,Conway,AR,5500,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2110,s:40~l:54~t:2110,Central Arkansas,Bears,CARK,Central Arkansas Bears,C Arkansas,a7a9ac,8e959a,TRUE,1908,https://a.espncdn.com/i/teamlogos/ncaa/500/2110.png,25,50,FALSE,43,s:40~l:54~t:43,Yale,Bulldogs,YALE,Yale Bulldogs,Yale,004a81,286dc0,TRUE,1923,https://a.espncdn.com/i/teamlogos/ncaa/500/43.png,12,54,TRUE,401027996,2018,3,,,,,,38,2018-03-30T00:00:00Z,2018-03-29,TRUE,TRUE
401028064,s:40~l:54~e:401028064~c:401028064,2018-03-28T23:00Z,7815,TRUE,FALSE,FALSE,FALSE,2018-03-28T23:00Z,event,WOMEN'S NIT - SEMIFINAL,37,BM,2092,Simon Skjodt Assembly Hall,Bloomington,IN,17222,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,84,s:40~l:54~t:84,Indiana,Hoosiers,IU,Indiana Hoosiers,Indiana,990000,edebeb,TRUE,2092,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,7,71,TRUE,2628,s:40~l:54~t:2628,TCU,Horned Frogs,TCU,TCU Horned Frogs,TCU,4d1979,f1f2f3,TRUE,2194,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,8,58,FALSE,401028064,2018,3,,,,,,37,2018-03-28T23:00:00Z,2018-03-28,TRUE,TRUE
401028055,s:40~l:54~e:401028055~c:401028055,2018-03-28T23:00Z,3015,TRUE,FALSE,FALSE,FALSE,2018-03-28T23:00Z,event,WOMEN'S NIT - SEMIFINAL,37,BM,2199,WVU Coliseum,Morgantown,WV,14000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,277,s:40~l:54~t:277,West Virginia,Mountaineers,WVU,West Virginia Mountaineers,West Virginia,FFC600,eaaa00,TRUE,2199,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,8,61,FALSE,259,s:40~l:54~t:259,Virginia Tech,Hokies,VT,Virginia Tech Hokies,Virginia Tech,630031,cf4520,TRUE,2119,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,2,64,TRUE,401028055,2018,3,,,,,,37,2018-03-28T23:00:00Z,2018-03-28,TRUE,TRUE
401026203,s:40~l:54~e:401026203~c:401026203,2018-03-27T01:00Z,5226,TRUE,TRUE,FALSE,FALSE,2018-03-27T01:00Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - SPOKANE REGION - FINAL,,,2228,Spokane Arena,Spokane,WA,11736,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,87,s:40~l:54~t:87,Notre Dame,Fighting Irish,ND,Notre Dame Fighting Irish,Notre Dame,0c2340,c99700,TRUE,282,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,2,84,TRUE,2483,s:40~l:54~t:2483,Oregon,Ducks,ORE,Oregon Ducks,Oregon,044520,fee123,TRUE,1977,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,21,74,FALSE,401026203,2018,3,,,,,,22,2018-03-27T01:00:00Z,2018-03-26,FALSE,TRUE
401026196,s:40~l:54~e:401026196~c:401026196,2018-03-26T23:00Z,9522,TRUE,TRUE,FALSE,FALSE,2018-03-26T23:00Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - ALBANY REGION - FINAL,,,20,MVP Arena,Albany,NY,15727,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,41,s:40~l:54~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,62,94,TRUE,2579,s:40~l:54~t:2579,South Carolina,Gamecocks,SC,South Carolina Gamecocks,South Carolina,73000a,ffffff,TRUE,1962,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,23,65,FALSE,401026196,2018,3,,,,,,22,2018-03-26T23:00:00Z,2018-03-26,FALSE,TRUE
401026250,s:40~l:54~e:401026250~c:401026250,2018-03-25T23:30Z,4089,TRUE,TRUE,FALSE,FALSE,2018-03-25T23:30Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - KANSAS CITY REGION FINAL,,,2561,T-Mobile Center,Kansas City,MO,18972,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,344,s:40~l:54~t:344,Mississippi State,Bulldogs,MSST,Mississippi State Bulldogs,Mississippi St,762123,c8c8c8,TRUE,2095,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,23,89,TRUE,26,s:40~l:54~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,TRUE,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,73,FALSE,401026250,2018,3,,,,,,22,2018-03-25T23:30:00Z,2018-03-25,FALSE,TRUE
401027693,s:40~l:54~e:401027693~c:401027693,2018-03-25T23:00Z,3885,TRUE,FALSE,FALSE,FALSE,2018-03-25T23:00Z,event,WOMEN'S NIT - QUARTERFINAL,37,BM,1905,DakotaDome,Vermillion,SD,10000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,233,s:40~l:54~t:233,South Dakota,Coyotes,SDAK,South Dakota Coyotes,South Dakota,CD1241,f0f0f0,TRUE,5432,https://a.espncdn.com/i/teamlogos/ncaa/500/233.png,47,71,FALSE,2628,s:40~l:54~t:2628,TCU,Horned Frogs,TCU,TCU Horned Frogs,TCU,4d1979,f1f2f3,TRUE,2194,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,8,79,TRUE,401027693,2018,3,,,,,,37,2018-03-25T23:00:00Z,2018-03-25,TRUE,TRUE
401027723,s:40~l:54~e:401027723~c:401027723,2018-03-25T20:00Z,2280,TRUE,FALSE,FALSE,FALSE,2018-03-25T20:00Z,event,WOMEN'S NIT - QUARTERFINAL,37,BM,2199,WVU Coliseum,Morgantown,WV,14000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,277,s:40~l:54~t:277,West Virginia,Mountaineers,WVU,West Virginia Mountaineers,West Virginia,FFC600,eaaa00,TRUE,2199,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,8,76,TRUE,2599,s:40~l:54~t:2599,St. John's,Red Storm,SJU,St. John's Red Storm,St John's,d10000,101010,TRUE,2019,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png,4,62,FALSE,401027723,2018,3,,,,,,37,2018-03-25T20:00:00Z,2018-03-25,TRUE,TRUE
401027694,s:40~l:54~e:401027694~c:401027694,2018-03-25T18:00Z,6001,TRUE,FALSE,FALSE,FALSE,2018-03-25T18:00Z,event,WOMEN'S NIT - QUARTERFINAL,37,BM,2092,Simon Skjodt Assembly Hall,Bloomington,IN,17222,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,84,s:40~l:54~t:84,Indiana,Hoosiers,IU,Indiana Hoosiers,Indiana,990000,edebeb,TRUE,2092,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,7,81,TRUE,302,s:40~l:54~t:302,UC Davis,Aggies,UCD,UC Davis Aggies,UC Davis,002855,c3c4c6,TRUE,2212,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,9,66,FALSE,401027694,2018,3,,,,,,37,2018-03-25T18:00:00Z,2018-03-25,TRUE,TRUE
401027692,s:40~l:54~e:401027692~c:401027692,2018-03-25T18:00Z,1067,TRUE,FALSE,FALSE,FALSE,2018-03-25T18:00Z,event,WOMEN'S NIT - QUARTERFINAL,37,BM,2119,Cassell Coliseum,Blacksburg,VA,8925,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,259,s:40~l:54~t:259,Virginia Tech,Hokies,VT,Virginia Tech Hokies,Virginia Tech,630031,cf4520,TRUE,2119,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,2,74,TRUE,333,s:40~l:54~t:333,Alabama,Crimson Tide,ALA,Alabama Crimson Tide,Alabama,9e1632,ffffff,TRUE,1925,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,23,67,FALSE,401027692,2018,3,,,,,,37,2018-03-25T18:00:00Z,2018-03-25,TRUE,TRUE
401026257,s:40~l:54~e:401026257~c:401026257,2018-03-25T16:00Z,6268,TRUE,TRUE,FALSE,FALSE,2018-03-25T16:00Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - LEXINGTON REGION FINAL,,,251,Rupp Arena,Lexington,KY,20500,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,97,s:40~l:54~t:97,Louisville,Cardinals,LOU,Louisville Cardinals,Louisville,c9001f,000000,TRUE,2030,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,2,76,TRUE,204,s:40~l:54~t:204,Oregon State,Beavers,ORST,Oregon State Beavers,Oregon St,d73f09,000000,TRUE,506,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,21,43,FALSE,401026257,2018,3,,,,,,22,2018-03-25T16:00:00Z,2018-03-25,FALSE,TRUE
401026201,s:40~l:54~e:401026201~c:401026201,2018-03-24T22:27Z,5084,TRUE,TRUE,FALSE,FALSE,2018-03-24T22:27Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - SPOKANE REGION - SEMIFINAL,,,2228,Spokane Arena,Spokane,WA,11736,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2483,s:40~l:54~t:2483,Oregon,Ducks,ORE,Oregon Ducks,Oregon,044520,fee123,TRUE,1977,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,21,83,TRUE,2117,s:40~l:54~t:2117,Central Michigan,Chippewas,CMU,Central Michigan Chippewas,C Michigan,6a0032,ffffff,TRUE,2087,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,14,69,FALSE,401026201,2018,3,,,,,,22,2018-03-24T22:27:00Z,2018-03-24,FALSE,TRUE
401027110,s:40~l:54~e:401027110~c:401027110,2018-03-24T22:00Z,1457,TRUE,FALSE,FALSE,FALSE,2018-03-24T22:00Z,event,WBI TOURNAMENT - SEMIFINAL,,,1908,Farris Center,Conway,AR,5500,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2110,s:40~l:54~t:2110,Central Arkansas,Bears,CARK,Central Arkansas Bears,C Arkansas,a7a9ac,8e959a,TRUE,1908,https://a.espncdn.com/i/teamlogos/ncaa/500/2110.png,25,65,TRUE,2440,s:40~l:54~t:2440,Nevada,Wolf Pack,NEV,Nevada Wolf Pack,Nevada,153E5F,8e9295,TRUE,461,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,44,56,FALSE,401027110,2018,3,,,,,,38,2018-03-24T22:00:00Z,2018-03-24,TRUE,TRUE
401027450,s:40~l:54~e:401027450~c:401027450,2018-03-24T21:00Z,350,TRUE,FALSE,FALSE,FALSE,2018-03-24T21:00Z,event,WBI TOURNAMENT - SEMIFINAL,,,1923,John J. Lee Amphitheater,New Haven,CT,2800,TRUE,0,0:00,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,43,s:40~l:54~t:43,Yale,Bulldogs,YALE,Yale Bulldogs,Yale,004a81,286dc0,TRUE,1923,https://a.espncdn.com/i/teamlogos/ncaa/500/43.png,12,76,TRUE,6,s:40~l:54~t:6,South Alabama,Jaguars,USA,South Alabama Jaguars,South Alabama,003E7E,,TRUE,2193,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,27,74,FALSE,401027450,2018,3,OT,,,,,38,2018-03-24T21:00:00Z,2018-03-24,FALSE,TRUE
401026202,s:40~l:54~e:401026202~c:401026202,2018-03-24T20:00Z,0,TRUE,TRUE,FALSE,FALSE,2018-03-24T20:00Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - SPOKANE REGION - SEMIFINAL,,,2228,Spokane Arena,Spokane,WA,11736,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,87,s:40~l:54~t:87,Notre Dame,Fighting Irish,ND,Notre Dame Fighting Irish,Notre Dame,0c2340,c99700,TRUE,282,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,2,90,TRUE,245,s:40~l:54~t:245,Texas A&M,Aggies,TA&M,Texas A&M Aggies,Texas A&M,5C0025,ffffff,TRUE,2114,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,23,84,FALSE,401026202,2018,3,,,,,,22,2018-03-24T20:00:00Z,2018-03-24,FALSE,TRUE
401026194,s:40~l:54~e:401026194~c:401026194,2018-03-24T18:00Z,10658,TRUE,TRUE,FALSE,FALSE,2018-03-24T18:00Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - ALBANY REGION - SEMIFINAL,,,20,MVP Arena,Albany,NY,15727,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,41,s:40~l:54~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,62,72,TRUE,150,s:40~l:54~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,59,FALSE,401026194,2018,3,,,,,,22,2018-03-24T18:00:00Z,2018-03-24,FALSE,TRUE
401026195,s:40~l:54~e:401026195~c:401026195,2018-03-24T15:30Z,10310,TRUE,TRUE,FALSE,FALSE,2018-03-24T15:30Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - ALBANY REGION - SEMIFINAL,,,20,MVP Arena,Albany,NY,15727,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2579,s:40~l:54~t:2579,South Carolina,Gamecocks,SC,South Carolina Gamecocks,South Carolina,73000a,ffffff,TRUE,1962,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,23,79,TRUE,2084,s:40~l:54~t:2084,Buffalo,Bulls,BUFF,Buffalo Bulls,Buffalo,041A9B,ebebeb,TRUE,2107,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,14,63,FALSE,401026195,2018,3,,,,,,22,2018-03-24T15:30:00Z,2018-03-24,FALSE,TRUE
401026255,s:40~l:54~e:401026255~c:401026255,2018-03-24T01:52Z,5715,TRUE,TRUE,FALSE,FALSE,2018-03-24T01:52Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - LEXINGTON REGION SEMIFINAL,,,251,Rupp Arena,Lexington,KY,20500,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,97,s:40~l:54~t:97,Louisville,Cardinals,LOU,Louisville Cardinals,Louisville,c9001f,000000,TRUE,2030,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,2,86,TRUE,24,s:40~l:54~t:24,Stanford,Cardinal,STAN,Stanford Cardinal,Stanford,8c1515,ffffff,TRUE,820,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,21,59,FALSE,401026255,2018,3,,,,,,22,2018-03-24T01:52:00Z,2018-03-23,FALSE,TRUE
401026208,s:40~l:54~e:401026208~c:401026208,2018-03-24T01:21Z,4280,TRUE,TRUE,FALSE,FALSE,2018-03-24T01:21Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - KANSAS CITY REGION SEMIFINAL,,,2561,T-Mobile Center,Kansas City,MO,18972,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,251,s:40~l:54~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,c15d26,ffffff,TRUE,7317,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,75,FALSE,26,s:40~l:54~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,TRUE,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,84,TRUE,401026208,2018,3,,,,,,22,2018-03-24T01:21:00Z,2018-03-23,FALSE,TRUE
401026934,s:40~l:54~e:401026934~c:401026934,2018-03-24T00:00Z,2223,TRUE,FALSE,FALSE,FALSE,2018-03-24T00:00Z,event,WOMEN'S NIT - 3rd ROUND,37,BM,2131,Bramlage Coliseum,Manhattan,KS,12528,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2306,s:40~l:54~t:2306,Kansas State,Wildcats,KSU,Kansas State Wildcats,Kansas St,633194,e7d2ad,TRUE,2131,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,8,69,FALSE,302,s:40~l:54~t:302,UC Davis,Aggies,UCD,UC Davis Aggies,UC Davis,002855,c3c4c6,TRUE,2212,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,9,71,TRUE,401026934,2018,3,,,,,,37,2018-03-24T00:00:00Z,2018-03-23,TRUE,TRUE
401026256,s:40~l:54~e:401026256~c:401026256,2018-03-23T23:00Z,0,TRUE,TRUE,FALSE,FALSE,2018-03-23T23:00Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - LEXINGTON REGION SEMIFINAL,,,251,Rupp Arena,Lexington,KY,20500,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,239,s:40~l:54~t:239,Baylor,Bears,BAY,Baylor Bears,Baylor,154734,ffb81c,TRUE,1049,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,8,67,FALSE,204,s:40~l:54~t:204,Oregon State,Beavers,ORST,Oregon State Beavers,Oregon St,d73f09,000000,TRUE,506,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,21,72,TRUE,401026256,2018,3,,,,,,22,2018-03-23T23:00:00Z,2018-03-23,FALSE,TRUE
401026209,s:40~l:54~e:401026209~c:401026209,2018-03-23T23:00Z,0,TRUE,TRUE,FALSE,FALSE,2018-03-23T23:00Z,event,NCAA WOMEN'S CHAMPIONSHIP PRES. BY CAPITAL ONE - KANSAS CITY REGION SEMIFINAL,,,2561,T-Mobile Center,Kansas City,MO,18972,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,344,s:40~l:54~t:344,Mississippi State,Bulldogs,MSST,Mississippi State Bulldogs,Mississippi St,762123,c8c8c8,TRUE,2095,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,23,71,TRUE,152,s:40~l:54~t:152,NC State,Wolfpack,NCST,NC State Wolfpack,NC State,EF1216,231f20,TRUE,2139,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,2,57,FALSE,401026209,2018,3,,,,,,22,2018-03-23T23:00:00Z,2018-03-23,FALSE,TRUE
401026931,s:40~l:54~e:401026931~c:401026931,2018-03-23T21:30Z,1709,TRUE,FALSE,FALSE,FALSE,2018-03-23T21:30Z,event,WOMEN'S NIT - 3rd ROUND,37,BM,2199,WVU Coliseum,Morgantown,WV,14000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,277,s:40~l:54~t:277,West Virginia,Mountaineers,WVU,West Virginia Mountaineers,West Virginia,FFC600,eaaa00,TRUE,2199,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,8,67,TRUE,256,s:40~l:54~t:256,James Madison,Dukes,JMU,James Madison Dukes,James Madison,450084,cbb778,TRUE,7107,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,10,55,FALSE,401026931,2018,3,,,,,,37,2018-03-23T21:30:00Z,2018-03-23,TRUE,TRUE
401027451,s:40~l:54~e:401027451~c:401027451,2018-03-23T01:00Z,3938,TRUE,FALSE,FALSE,FALSE,2018-03-23T01:00Z,event,WOMEN'S NIT - 3rd ROUND,37,BM,2024,The Pit,Albuquerque,NM,15411,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,167,s:40~l:54~t:167,New Mexico,Lobos,UNM,New Mexico Lobos,New Mexico,000000,231f20,TRUE,2024,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,44,72,FALSE,2628,s:40~l:54~t:2628,TCU,Horned Frogs,TCU,TCU Horned Frogs,TCU,4d1979,f1f2f3,TRUE,2194,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,8,81,TRUE,401027451,2018,3,,,,,,37,2018-03-23T01:00:00Z,2018-03-22,TRUE,TRUE
401027090,s:40~l:54~e:401027090~c:401027090,2018-03-23T00:00Z,3072,TRUE,FALSE,FALSE,FALSE,2018-03-23T00:00Z,event,WOMEN'S NIT - 3rd ROUND,37,BM,1905,DakotaDome,Vermillion,SD,10000,TRUE,0,0:00,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,233,s:40~l:54~t:233,South Dakota,Coyotes,SDAK,South Dakota Coyotes,South Dakota,CD1241,f0f0f0,TRUE,5432,https://a.espncdn.com/i/teamlogos/ncaa/500/233.png,47,85,TRUE,127,s:40~l:54~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,18453B,ffffff,TRUE,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,83,FALSE,401027090,2018,3,OT,,,,,37,2018-03-23T00:00:00Z,2018-03-22,TRUE,TRUE
401026933,s:40~l:54~e:401026933~c:401026933,2018-03-23T00:00Z,640,TRUE,FALSE,FALSE,FALSE,2018-03-23T00:00Z,event,WOMEN'S NIT - 3rd ROUND,37,BM,1925,Coleman Coliseum,Tuscaloosa,AL,14474,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,333,s:40~l:54~t:333,Alabama,Crimson Tide,ALA,Alabama Crimson Tide,Alabama,9e1632,ffffff,TRUE,1925,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,23,61,TRUE,59,s:40~l:54~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,TRUE,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,59,FALSE,401026933,2018,3,,,,,,37,2018-03-23T00:00:00Z,2018-03-22,TRUE,TRUE
401027091,s:40~l:54~e:401027091~c:401027091,2018-03-22T23:00Z,335,TRUE,FALSE,FALSE,FALSE,2018-03-22T23:00Z,event,WOMEN'S NIT - 3rd ROUND,37,BM,2019,Carnesecca Arena,Queens,NY,5602,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2599,s:40~l:54~t:2599,St. John's,Red Storm,SJU,St. John's Red Storm,St John's,d10000,101010,TRUE,2019,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png,4,65,TRUE,2184,s:40~l:54~t:2184,Duquesne,Dukes,DUQ,Duquesne Dukes,Duquesne,002D62,b90b2e,TRUE,1958,https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,3,52,FALSE,401027091,2018,3,,,,,,37,2018-03-22T23:00:00Z,2018-03-22,TRUE,TRUE
